Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross income,Rating
765-26-6951,A,Yangon,0,0,ST,72.61,6,21.783,457.443,2019-01-01,10:39:00,CC,435.66,21.783,6.9
746-04-1077,B,Mandalay,1,1,FB,84.63,10,42.315,888.615,2019-01-01,11:36:00,CC,846.3,42.315,9.0
271-77-8740,C,Naypyitaw,1,1,ST,29.22,6,8.766,184.086,2019-01-01,11:40:00,E,175.32,8.766,5.0
133-14-7229,C,Naypyitaw,0,0,HB,62.87,2,6.287,132.027,2019-01-01,11:43:00,C,125.74,6.287,5.0
651-88-7328,A,Yangon,0,1,FA,65.74,9,29.583,621.243,2019-01-01,13:55:00,C,591.66,29.583,7.7
416-17-9926,A,Yangon,1,1,EA,74.22,10,37.11,779.31,2019-01-01,14:42:00,CC,742.2,37.11,4.3
530-90-9855,A,Yangon,1,0,HL,47.59,8,19.036,399.756,2019-01-01,14:47:00,C,380.72,19.036,5.7
556-97-7101,C,Naypyitaw,0,1,EA,63.22,2,6.322,132.762,2019-01-01,15:51:00,C,126.44,6.322,8.5
891-01-7034,B,Mandalay,0,1,EA,74.71,6,22.413,470.673,2019-01-01,19:07:00,C,448.26,22.413,6.7
770-42-8960,B,Mandalay,0,0,FB,21.12,8,8.448,177.408,2019-01-01,19:31:00,C,168.96,8.448,6.3
493-65-6248,C,Naypyitaw,1,1,ST,36.98,10,18.49,388.29,2019-01-01,19:48:00,CC,369.8,18.49,7.0
182-52-7000,A,Yangon,1,1,ST,27.04,4,5.408,113.568,2019-01-01,20:26:00,E,108.16,5.408,6.9
244-08-0162,B,Mandalay,0,1,HB,34.21,10,17.105,359.205,2019-01-02,13:00:00,C,342.1,17.105,5.1
198-84-7132,B,Mandalay,1,0,FA,40.61,9,18.2745,383.7645,2019-01-02,13:40:00,C,365.49,18.2745,7.0
712-39-0363,A,Yangon,1,0,FB,41.66,6,12.498,262.458,2019-01-02,15:24:00,E,249.96,12.498,5.6
345-68-9016,C,Naypyitaw,1,1,ST,31.67,8,12.668,266.028,2019-01-02,16:19:00,CC,253.36,12.668,5.6
504-35-8843,A,Yangon,0,0,ST,42.47,1,2.1235,44.5935,2019-01-02,16:57:00,C,42.47,2.1235,5.7
446-47-6729,C,Naypyitaw,0,0,FA,99.82,2,9.982,209.622,2019-01-02,18:09:00,CC,199.64,9.982,6.7
744-09-5786,B,Mandalay,0,0,EA,22.01,6,6.603,138.663,2019-01-02,18:50:00,C,132.06,6.603,7.6
670-71-7306,B,Mandalay,0,0,ST,44.63,6,13.389,281.169,2019-01-02,20:08:00,CC,267.78,13.389,5.1
343-87-0864,C,Naypyitaw,1,0,HB,75.88,1,3.794,79.674,2019-01-03,10:30:00,CC,75.88,3.794,7.1
249-42-3782,A,Yangon,0,0,HB,70.01,5,17.5025,367.5525,2019-01-03,11:36:00,E,350.05,17.5025,5.5
749-24-1565,A,Yangon,0,1,HB,23.03,9,10.3635,217.6335,2019-01-03,12:02:00,E,207.27,10.3635,7.9
